gpu,backend,M,N,K,shape,flops,dtype,trials,warmup,iters,p50_ms,p90_ms,std_ms,tflops_p50,speedup_vs_torch_p50
NVIDIA A100-SXM4-80GB,torch,128,4096,4096,128x4096x4096,4294967296.0,float16,10,30,2000,0.03194419288635254,0.03458431930541992,0.0020909610773872504,134.45220892824406,
NVIDIA A100-SXM4-80GB,triton,128,4096,4096,128x4096x4096,4294967296.0,float16,10,30,2000,0.062493951797485355,0.06384250755310059,0.0012942788219828482,68.72612744858971,0.511156551435077
NVIDIA A100-SXM4-80GB,torch,128,4096,4096,128x4096x4096,4294967296.0,bfloat16,10,30,2000,0.03726515197753906,0.03732976608276367,3.9722876719033394e-05,115.25425412430143,
NVIDIA A100-SXM4-80GB,triton,128,4096,4096,128x4096x4096,4294967296.0,bfloat16,10,30,2000,0.06184985542297363,0.06204620742797851,0.00018787148194357808,69.44183242835308,0.6025099286440243
NVIDIA A100-SXM4-80GB,torch,128,5120,5120,128x5120x5120,6710886400.0,float16,10,30,2000,0.04982220840454102,0.04999859199523926,0.00027337761732613243,134.69668677690208,
NVIDIA A100-SXM4-80GB,triton,128,5120,5120,128x5120x5120,6710886400.0,float16,10,30,2000,0.06878003311157227,0.0690435073852539,0.0001555215217420378,97.5702699810258,0.7243702300015091
NVIDIA A100-SXM4-80GB,torch,128,5120,5120,128x5120x5120,6710886400.0,bfloat16,10,30,2000,0.048824831008911135,0.048832819747924805,4.507606220019553e-05,137.44822585817408,
NVIDIA A100-SXM4-80GB,triton,128,5120,5120,128x5120x5120,6710886400.0,bfloat16,10,30,2000,0.06744960021972657,0.06745707550048828,1.3608996257409813e-05,99.49482840726029,0.7238713179893932
NVIDIA A100-SXM4-80GB,torch,256,4096,4096,256x4096x4096,8589934592.0,float16,10,30,2000,0.053703424453735354,0.05379691619873047,0.00014430234351573638,159.95133791514715,
NVIDIA A100-SXM4-80GB,triton,256,4096,4096,256x4096x4096,8589934592.0,float16,10,30,2000,0.07473484802246094,0.07498490676879883,0.0001357059422960818,114.93881126804949,0.7185861197924057
NVIDIA A100-SXM4-80GB,torch,256,4096,4096,256x4096x4096,8589934592.0,bfloat16,10,30,2000,0.05546777534484863,0.05648941955566406,0.0031654697747577304,154.8635137896829,
NVIDIA A100-SXM4-80GB,triton,256,4096,4096,256x4096x4096,8589934592.0,bfloat16,10,30,2000,0.07336934280395507,0.0733955596923828,4.848039874697291e-05,117.07798194339215,0.7560075261006504
NVIDIA A100-SXM4-80GB,torch,128,4096,11008,128x4096x11008,11542724608.0,float16,10,30,1000,0.0850206756591797,0.08670228576660155,0.004891300851153802,135.76373650888212,
NVIDIA A100-SXM4-80GB,triton,128,4096,11008,128x4096x11008,11542724608.0,float16,10,30,1000,0.14488780975341797,0.14765096740722655,0.0037906439429557697,79.66663743239933,0.586803512344309
NVIDIA A100-SXM4-80GB,torch,128,4096,11008,128x4096x11008,11542724608.0,bfloat16,10,30,1000,0.07513805007934571,0.07684393157958984,0.000765701919537619,153.6202309723355,
NVIDIA A100-SXM4-80GB,triton,128,4096,11008,128x4096x11008,11542724608.0,bfloat16,10,30,1000,0.1437998046875,0.14692853851318358,0.009216213822097323,80.26940393336548,0.522518443210912
NVIDIA A100-SXM4-80GB,torch,128,11008,4096,128x11008x4096,11542724608.0,float16,10,30,1000,0.10800077056884766,0.11647620849609375,0.005681648357662611,106.87631715221713,
